ID,Scientific Name,Common Name,Native Status,County
3972,Anacamptodon splachnoides (Froel. ex Brid.) Brid.,Knothole Moss,N,Fauquier
3973,Andreaea rothii F. Weber & D. Mohr,Needle-Leaved Lantern Moss,N,Fauquier
3975,Anomodon attenuatus (Hedwig) Huebener,,N,Fauquier
3976,Anomodon minor (Hedwig) Lindberg,,N,Fauquier
3977,Anomodon rostratus (Hedwig) Schimper,,N,Fauquier
4445,Anomodon rugelii (Müll. Hal.) Keissl.,,N,Fauquier
4078,Anomodon tristis (Ces.) Sull. & Lesq.,,N,Fauquier
3984,Arrhenopterum heterostichum Hedwig,,N,Fauquier
4390,Atrichum altecristatum (Renauld & Cardot) B.B. Smyth & L.C.D. Smyth,Wavy Starburst Moss,N,Fauquier
3981,Atrichum angustatum (Brid.) Bruch & Schimp.,Slender Starburst Moss,N,Fauquier
4391,Atrichum crispulum Schimp. ex Besch.,Crispy Starburst Moss,N,Fauquier
3982,Atrichum crispum (James) Sull.,Oval Starburst Moss,N,Fauquier
3983,Atrichum undulatum (Hedw.) P. Beauv.,,,Fauquier
3985,Aulacomnium palustre (Hedw.) Schwägr.,Ribbed Bog Moss,N,Fauquier
3988,Bartramia pomiformis Hedwig,Apple Moss,N,Fauquier
4196,Bazzania trilobata (L.) Gray,,N,Fauquier
3991,Brachythecium acuminatum (Hedw.) Austin,,N,Fauquier
3990,Brachythecium campestre (Müll. Hal.) Schimp.,,N,Fauquier
3994,Brachythecium laetum (Brid.) Schimp.,Pleated Foxtail Moss,N,Fauquier
3996,Brachythecium rivulare Schimper,River Foxtail Moss,N,Fauquier
3997,Brachythecium rutabulum (Hedw.) Schimp.,Rough Foxtail Moss,N,Fauquier
3998,Brachythecium salebrosum (Hoffm. ex F. Weber & D. Mohr) Schimp.,Golden Foxtail Moss,N,Fauquier
4490,Brothera leana (Sull.) Müll. Hal.,,N,Fauquier
3999,Brotherella recurvans (Michx.) M. Fleisch.,Satin Moss,N,Fauquier
4003,Bryhnia graminicolor (Brid.) Grout,,N,Fauquier
4004,Bryhnia novae-angliae (Sull. & Lesq.) Grout,,N,Fauquier
4005,Bryoandersonia illecebra (Hedw.) H. Rob.,Worm Moss,N,Fauquier
4006,Bryum argenteum Hedwig var. argenteum,Silver Moss,N,Fauquier
4013,Callicladium haldanianum (Grev.) H.A. Crum,,N,Fauquier
4199,Calypogeia muelleriana (Schiffn.) Müll. Frib.,,N,Fauquier
4198,Calypogeia neogaea (R.M. Schust.) Bakalin,,N,Fauquier
4016,Campyliadelphus chrysophyllus (Brid.) Kanda,Bristle Star Moss,N,Fauquier
4017,Campylophyllum hispidulum (Brid.) Hedenäs,Tiny Star Moss,N,Fauquier
4021,Ceratodon purpureus (Hedw.) Brid. ssp. purpureus,Purple Moss,N,Fauquier
4642,Chiloscyphus pallescens (Ehrh. ex Hoffm.) Dumort. var. fragilis (Roth) Muell. Frib. ex R.M. Schust.,,,Fauquier
4023,Climacium americanum Bridel,Common Tree Moss,N,Fauquier
4025,Ctenidium molluscum (Hedw.) Mitt.,,N,Fauquier
4026,Dicranella heteromalla (Hedw.) Schimp,Fine Hair Moss,N,Fauquier
4036,Dicranum condensatum Hedw.,,N,Fauquier
4031,Dicranum flagellare Hedwig,,N,Fauquier
4032,Dicranum fulvum Hooker,Boulder Broom Moss,N,Fauquier
4034,Dicranum montanum Hedwig,Crispy Broom Moss,N,Fauquier
4037,Dicranum scoparium Hedwig,Common Broom Moss,N,Fauquier
4039,Diphyscium foliosum (Hedw.) D. Mohr,,N,Fauquier
4214,Diplophyllum apiculatum (A. Evans) Steph.,,N,Fauquier
4041,Ditrichum pallidum (Hedw.) Hampe,Saffron Moss,N,Fauquier
4044,Drummondia prorepens (Hedw.) E. Britton,,N,Fauquier
4046,Entodon cladorrhizans (Hedw.) Müll. Hal.,,N,Fauquier
4047,Entodon seductrix (Hedw.) Müll. Hal.,,N,Fauquier
4051,Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen var. pulchellum,Rug Moss,N,Fauquier
4060,Fissidens bushii (Cardot & Thér.) Cardot & Thér.,,N,Fauquier
4055,Fissidens dubius P. Beauv.,,N,Fauquier
4056,Fissidens fontanus (Bach. Pyl.) Steud.,,N,Fauquier
4057,Fissidens osmundioides Hedwig,,N,Fauquier
4059,Fissidens taxifolius Hedwig,,N,Fauquier
4062,Fontinalis novae-angliae Sullivant,,N,Fauquier
4217,Frullania asagrayana Montagne,,N,Fauquier
4219,Frullania eboracensis Gottsche ssp. eboracensis,,N,Fauquier
4223,Frullania riparia Hampe ex Lehm.,,N,Fauquier
4065,Funaria hygrometrica Hedwig var. hygrometrica,,N,Fauquier
4007,Gemmabryum caespiticium (Hedw.) J.R. Spence,,N,Fauquier
4077,Haplocladium virginianum (Brid.) Broth.,,N,Fauquier
4079,Hedwigia ciliata (Hedw.) P. Beauv.,Medusa Moss,N,Fauquier
4081,Homomallium adnatum (Hedw.) Broth.,,N,Fauquier
4414,Hygroamblystegium varium (Hedw.) Mönkemeyer ssp. varium var. humile (P. Beauv.) Vanderpoorten & Hedenäs,,N,Fauquier
3971,Hygroamblystegium varium (Hedw.) Mönkemeyer ssp. varium var. varium,Tangled Thread Moss,N,Fauquier
4363,Hypnum cupressiforme Hedw. var. cupressiforme,,N,Fauquier
4089,Hypnum curvifolium Hedwig,Greater Plait Moss,N,Fauquier
4091,Hypnum imponens Hedwig,Brocade Moss,N,Fauquier
4092,Hypnum lindbergii Mitt.,Pale Plait Moss,N,Fauquier
4094,Hypnum pratense Koch ex Spruce,,N,Fauquier
4097,Isopterygium tenerum (Sw.) Mitt.,,N,Fauquier
4098,Leptodictyum riparium (Hedw.) Warnst.,Wet Thread Moss,N,Fauquier
4100,Leskea gracilescens Hedwig,,N,Fauquier
4101,Leskea obscura Hedwig,,N,Fauquier
4102,Leskea polycarpa Hedw.,,N,Fauquier
4103,Leucobryum albidum (Brid. ex P. Beauv.) Lindb.,White Moss,N,Fauquier
4104,Leucobryum glaucum (Hedw.) Ångstr,Cushion Moss,N,Fauquier
4242,Lophocolea heterophylla (Schrad.) Dum.,,N,Fauquier
4374,Mnium marginatum (Dicks. ex With.) P. Beauv.,,N,Fauquier
4117,Mnium stellare Hedwig,,N,Fauquier
4316,Odontoschisma sphagni (Dicks.) Dumort.,,N,Fauquier
4120,Orthotrichum ohioense Sullivant & Lesquereux,,N,Fauquier
4123,Orthotrichum stellatum Bridel,,N,Fauquier
4050,Oxyrrhynchium hians (Hedw.) Loeske,,N,Fauquier
4192,Phaeoceros carolinianus (Michx.) Prosk.,,N,Fauquier
4529,Physcomitrella patens (Hedw.) Bruch & Schimp.,,N,Fauquier
4131,Physcomitrium pyriforme (Hedw.) Hampe,,N,Fauquier
4108,Plagiomnium ciliare (Müll. Hal.) T.J. Kop.,,N,Fauquier
4109,Plagiomnium cuspidatum (Hedw.) T.J. Kop.,,N,Fauquier
4111,Plagiomnium medium (Bruch & Schimp.) T.J. Kop.,,N,Fauquier
4115,Plagiomnium rostratum (Schrad.) T.J. Kop.,,N,Fauquier
4132,Plagiothecium cavifolium (Brid.) Z. Iwats.,,N,Fauquier
4135,Platygyrium repens (Brid.) Schimp.,,N,Fauquier
4172,Platylomella lescurii (Sull.) A. L. Andrews,Bordered Brook Moss,N,Fauquier
4144,Pohlia nutans (Hedw.) Lindb.,,N,Fauquier
4145,Pohlia wahlenbergii (F. Weber & D. Mohr) A.L. Andrews,,N,Fauquier
4148,Polytrichastrum ohioense (Renauld & Cardot) G.L. Sm.,,N,Fauquier
4147,Polytrichum commune Hedwig var. commune,Common Haircap Moss,N,Fauquier
