ID,"Scientific Name","Common Name","Native Status",County
457,"Abutilon theophrasti Medik.",Velvetleaf,I,Fauquier
1896,"Acalypha gracilens Gray","Slender Three-seeded Mercury, Short-stalk Copperleaf",N,Fauquier
1880,"Acalypha rhomboidea Raf.","Common Three-seeded Mercury, Common Copperleaf",N,Fauquier
1879,"Acalypha virginica L.","Virginia Three-seeded Mercury, Virginia Copperleaf",N,Fauquier
810,"Acer negundo L. var. negundo","Boxelder, Eastern Boxelder",N,Fauquier
2002,"Acer pensylvanicum L.","Striped Maple",N,Fauquier
2001,"Acer platanoides L.","Norway maple",I,Fauquier
808,"Acer rubrum L.","Red Maple",N,Fauquier
806,"Acer saccharinum L.","Silver Maple",N,Fauquier
805,"Acer saccharum Marshall","Sugar Maple",N,Fauquier
3435,"Acetosa acetosella (L.) P. Miller","Sheep Sorrel",I,Fauquier
510,"Achillea borealis Bongard","Common Yarrow",N,Fauquier
24,"Acorus calamus L.","Sweetflag, European Calamus",I,Fauquier
2625,"Actaea racemosa L.","Common Black Cohosh, Bugbane",N,Fauquier
823,"Adiantum pedatum L.","Northern Maidenhair Fern",N,Fauquier
3943,"Agalinis decemloba (Greene) Pennell","Ten-lobed False Foxglove",N,Fauquier
617,"Agalinis purpurea (L.) Pennell","Purple False Foxglove",N,Fauquier
415,"Agalinis tenuifolia (Vahl) Raf.","Slender-leaf False Foxglove, Slender False Foxglove",N,Fauquier
414,"Agastache nepetoides (L.) Kuntze","Yellow Giant Hyssop",N,Fauquier
413,"Agastache scrophulariifolia (Willd.) Kuntze","Purple Giant Hyssop",N,Fauquier
511,"Ageratina altissima (L.) King & H.E. Robins. ","White Snakeroot",N,Fauquier
487,"Ageratina aromatica (L.) Spach","Small White Snakeroot, Lesser Snakeroot",N,Fauquier
401,"Agrimonia gryposepala Wallr.","Tall Hairy Agrimony",N,Fauquier
399,"Agrimonia microcarpa Wallr.","Low Agrimony",N,Fauquier
398,"Agrimonia parviflora Ait.","Small-flowered Agrimony, Harvest-lice",N,Fauquier
389,"Agrimonia pubescens Wallr.","Downy Agrimony",N,Fauquier
375,"Agrimonia rostellata Wallr.","Woodland Agrimony",N,Fauquier
1851,"Agrostemma githago L. var. githago","Common Corncockle",I,Fauquier
463,"Agrostis gigantea Roth",Redtop,I,Fauquier
464,"Agrostis hyemalis (Walt.) B.S.P.","Winter Bentgrass, Ticklegrass",N,Fauquier
466,"Agrostis perennans (Walt.) Tuckerman","Autumn Bentgrass",N,Fauquier
442,"Agrostis stolonifera L.","Creeping Bentgrass",I,Fauquier
652,"Ailanthus altissima (P. Miller) Swingle",Tree-of-heaven,I,Fauquier
816,"Ajuga reptans L.",Carpet-bugle,I,Fauquier
2516,"Akebia quinata (Houtt.) Dcne.","Five-leaf Akebia, Chocolate Vine",I,Fauquier
807,"Albizia julibrissin Durazz.","Mimosa, Silk Tree",I,Fauquier
101,"Aletris farinosa L.","White Colicroot",N,Fauquier
16,"Alisma subcordatum Rafinesque","Southern Water-plantain",N,Fauquier
306,"Alliaria petiolata (Bieberstein) Cavara & Grande","Garlic Mustard, Hedge Garlic",I,Fauquier
31,"Allium canadense L. var. canadense","Wild Onion, Meadow Onion",N,Fauquier
1232,"Allium tricoccum Ait.","Ramps, Wild Leek, Rampscallions",N,Fauquier
1233,"Allium vineale L.","Field Garlic, Onion Grass, Wild Onion",I,Fauquier
232,"Alnus serrulata (Ait.) Willd.","Smooth Alder, Hazel Alder",N,Fauquier
474,"Alopecurus pratensis L.","Meadow Foxtail Grass",I,Fauquier
1992,"Amaranthus hybridus L.","Slender Pigweed, Smooth Pigweed, Green Amaranth",N,Fauquier
1991,"Amaranthus palmeri S. Wats.","Careless-weed, Palmer's Amaranth",I,Fauquier
1987,"Amaranthus retroflexus L.","Rough Pigweed, Red-root Amaranth",N,Fauquier
783,"Amaranthus spinosus L.","Spiny Amaranth",I,Fauquier
961,"Amauropelta noveboracensis (L.) S.E. Fawcett & A.R. Smith","New York Fern",N,Fauquier
219,"Ambrosia artemisiifolia L.","Common Ragweed",N,Fauquier
530,"Ambrosia trifida L.","Giant Ragweed",N,Fauquier
1755,"Amelanchier arborea (Michx. f.) Fernald","Downy Serviceberry",N,Fauquier
1631,"Amelanchier canadensis (L.) Medik.","Canadian Serviceberry",N,Fauquier
1632,"Amelanchier laevis Wieg.","Smooth Serviceberry",N,Fauquier
673,"Amelanchier sanguinea (Pursh) DC.","Roundleaf Serviceberry",N,Fauquier
33,"Amelanchier spicata (Lam.) K. Koch","Running Serviceberry, Dwarf Serviceberry",N,Fauquier
2518,"Ammannia coccinea Rottb.","Scarlet Ammannia, Purple Ammannia",N,Fauquier
2519,"Ammannia latifolia L.","Koehne's Ammannia, Pink Redstem",N,Fauquier
2520,"Amorpha fruticosa L.","False Indigo-bush, Tall Indigo-bush",N,Fauquier
616,"Amphicarpaea bracteata (L.) Fern. var. bracteata",Hog-peanut,N,Fauquier
4759,"Amphicarpaea bracteata (L.) Fern. var. comosa Fassett","American Hog-peanut, Lowland Hog-peanut",N,Fauquier
2526,"Anagallis arvensis L.","Scarlet Pimpernel, Common Pimpernel",I,Fauquier
