AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"HELE4","CULE2","×Cupressocyparis leylandii (Dallim. & A.B. Jacks.) Dallim.","Leyland cypress"
"HELE4","","×Hesperotropsis leylandii (A.B. Jacks. & Dallim.) Garland & Gerry Moore [Hesperocyparis macrocarpa × Callitropsis nootkatensis]","Leyland cypress"
"ABGR4","","Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora]","glossy abelia"
"ABMAS","ABSH","Abies ×shastensis (Lemmon) Lemmon","Shasta red fir"
"ABAM","","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir"
"ABBA","","Abies balsamea (L.) Mill.","balsam fir"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir"
"ABFR","","Abies fraseri (Pursh) Poir.","Fraser fir"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir"
"ABMA","","Abies magnifica A. Murray bis","California red fir"
"ABMAS","","Abies magnifica A. Murray bis var. shastensis Lemmon","Shasta red fir"
"ABPR","","Abies procera Rehder","noble fir"
"VACO9","ACCO2","Acacia constricta Benth.","whitethorn acacia"
"ACCY2","","Acacia cyclops A. Cunn. ex G. Don","coastal wattle"
"SEGR4","ACGR","Acacia greggii A. Gray","catclaw acacia"
"ACKO","","Acacia koa A. Gray","koa"
"ACKO2","","Acacia koaia Hillebr.","koaoha"
"ACLO","","Acacia longifolia (Andrews) Willd.","Sydney golden wattle"
"ACME","","Acacia melanoxylon R. Br.","blackwood"
"ACVI","","Acalypha virginica L.","Virginia threeseed mercury"
"ACFL","ACBA3","Acer barbatum Michx. p.p.","southern sugar maple"
"ACCI","","Acer circinatum Pursh","vine maple"
"ACFL","","Acer floridanum (Chapm.) Pax","southern sugar maple"
"ACGI","","Acer ginnala Maxim.","Amur maple"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple"
"ACGR3","","Acer grandidentatum Nutt.","bigtooth maple"
"ACMA3","","Acer macrophyllum Pursh","bigleaf maple"
"ACNE2","","Acer negundo L.","boxelder"
"ACNI5","","Acer nigrum Michx. f.","black maple"
"ACPE","","Acer pensylvanicum L.","striped maple"
"ACPL","","Acer platanoides L.","Norway maple"
"ACPS","","Acer pseudoplatanus L.","sycamore maple"
"ACRU","","Acer rubrum L.","red maple"
"ACSA2","","Acer saccharinum L.","silver maple"
